Symbol,Date,Time,Open,High,Low,Close,Volume
RELIANCE,2025-03-24 00:00:00+05:30,15:30:00,1285.86434660882,1300.8046759652354,1279.141198398433,1296.920166015625,20299319
RELIANCE,2025-03-25 00:00:00+05:30,15:30:00,1302.497915186312,1302.497915186312,1277.4977874103538,1280.33642578125,13713899
RELIANCE,2025-03-26 00:00:00+05:30,15:30:00,1285.8643858858131,1288.6532960847499,1263.7028966635362,1267.98583984375,12074747
RELIANCE,2025-03-27 00:00:00+05:30,15:30:00,1273.0655062272906,1279.8882324099652,1266.242780044616,1273.115234375,15028056
RELIANCE,2025-03-28 00:00:00+05:30,15:30:00,1274.9081198538831,1290.5954658598978,1263.9518781988888,1270.027587890625,18147129
RELIANCE,2025-04-01 00:00:00+05:30,15:30:00,1259.5693287834792,1272.8164693011493,1244.330265958221,1247.6170654296875,12099648
RELIANCE,2025-04-02 00:00:00+05:30,15:30:00,1242.5873186806543,1250.5554948342144,1238.9518139936486,1246.1729736328125,10142590
RELIANCE,2025-04-03 00:00:00+05:30,15:30:00,1228.145018441354,1246.8204315907722,1228.145018441354,1243.732666015625,7434366
RELIANCE,2025-04-04 00:00:00+05:30,15:30:00,1236.1628160172713,1240.4954871764826,1188.4036122186155,1199.9075927734375,17908652
RELIANCE,2025-04-07 00:00:00+05:30,15:30:00,1127.6960086529814,1166.590714623955,1110.415052053189,1161.062744140625,22156106
RELIANCE,2025-04-08 00:00:00+05:30,15:30:00,1167.3378163352843,1191.8399338970503,1158.6724733291408,1177.4971923828125,19555040
RELIANCE,2025-04-09 00:00:00+05:30,15:30:00,1164.8477193030515,1185.0670143686195,1163.3536863154889,1180.6346435546875,10223104
RELIANCE,2025-04-11 00:00:00+05:30,15:30:00,1190.3957018139643,1217.786306450343,1190.3957018139643,1214.1009521484375,11224242
RELIANCE,2025-04-15 00:00:00+05:30,15:30:00,1246.0235343416643,1246.0235343416643,1232.1788040875913,1235.1668701171875,13378535
